_step,acquisition,min_type_step
0,BALM,1.4285714285714286
0,BQBC,1.1428571428571428
0,QBMGP,1.2857142857142858
0,Random,1.2857142857142858
0,SALHL,0.5714285714285714
0,SALKL,1.5714285714285714
0,SALWS,1.7142857142857142
1,BALM,0.8571428571428571
1,BQBC,1.1428571428571428
1,QBMGP,1.1428571428571428
1,Random,0.8571428571428571
1,SALHL,1.5714285714285714
1,SALKL,0.5714285714285714
1,SALWS,1.8571428571428572
2,BALM,1.4285714285714286
2,BQBC,1.2857142857142858
2,QBMGP,1.2857142857142858
2,Random,1.1428571428571428
2,SALHL,2.0
2,SALKL,1.0
2,SALWS,1.8571428571428572
3,BALM,0.5714285714285714
3,BQBC,1.2857142857142858
3,QBMGP,1.5714285714285714
3,Random,1.5714285714285714
3,SALHL,1.5714285714285714
3,SALKL,1.5714285714285714
3,SALWS,1.7142857142857142
4,BALM,1.2857142857142858
4,BQBC,1.2857142857142858
4,QBMGP,0.8571428571428571
4,Random,1.1428571428571428
4,SALHL,1.7142857142857142
4,SALKL,1.1428571428571428
4,SALWS,0.8571428571428571
5,BALM,0.42857142857142855
5,BQBC,1.2857142857142858
5,QBMGP,1.2857142857142858
5,Random,1.0
5,SALHL,1.7142857142857142
5,SALKL,1.4285714285714286
5,SALWS,1.1428571428571428
6,BALM,0.8571428571428571
6,BQBC,1.1428571428571428
6,QBMGP,1.4285714285714286
6,Random,0.42857142857142855
6,SALHL,1.8571428571428572
6,SALKL,1.5714285714285714
6,SALWS,1.5714285714285714
7,BALM,0.7142857142857143
7,BQBC,1.2857142857142858
7,QBMGP,1.0
7,Random,0.8571428571428571
7,SALHL,2.0
7,SALKL,2.0
7,SALWS,1.5714285714285714
8,BALM,1.2857142857142858
8,BQBC,1.2857142857142858
8,QBMGP,1.5714285714285714
8,Random,0.5714285714285714
8,SALHL,1.8571428571428572
8,SALKL,1.8571428571428572
8,SALWS,1.4285714285714286
9,BALM,0.8571428571428571
9,BQBC,1.4285714285714286
9,QBMGP,1.4285714285714286
9,Random,0.5714285714285714
9,SALHL,1.8571428571428572
9,SALKL,1.5714285714285714
9,SALWS,1.8571428571428572
10,BALM,0.8571428571428571
10,BQBC,1.5714285714285714
10,QBMGP,1.4285714285714286
10,Random,0.42857142857142855
10,SALHL,1.4285714285714286
10,SALKL,1.5714285714285714
10,SALWS,1.7142857142857142
11,BALM,0.8571428571428571
11,BQBC,1.5714285714285714
11,QBMGP,1.5714285714285714
11,Random,0.8571428571428571
11,SALHL,1.5714285714285714
11,SALKL,1.2857142857142858
11,SALWS,1.7142857142857142
12,BALM,0.7142857142857143
12,BQBC,1.0
12,QBMGP,1.7142857142857142
12,Random,1.0
12,SALHL,1.4285714285714286
12,SALKL,1.0
12,SALWS,1.4285714285714286
13,BALM,0.7142857142857143
13,BQBC,1.2857142857142858
13,QBMGP,1.5714285714285714
13,Random,1.0
13,SALHL,1.4285714285714286
13,SALKL,1.1428571428571428
13,SALWS,1.4285714285714286
14,BALM,0.42857142857142855
14,BQBC,1.2857142857142858
14,QBMGP,1.7142857142857142
14,Random,0.8571428571428571
14,SALHL,1.4285714285714286
14,SALKL,1.2857142857142858
14,SALWS,1.4285714285714286
15,BALM,0.8571428571428571
15,BQBC,1.4285714285714286
15,QBMGP,1.5714285714285714
15,Random,1.2857142857142858
15,SALHL,1.4285714285714286
15,SALKL,1.1428571428571428
15,SALWS,1.2857142857142858
16,BALM,1.5714285714285714
16,BQBC,1.4285714285714286
16,QBMGP,0.8571428571428571
16,Random,1.5714285714285714
16,SALHL,1.4285714285714286
16,SALKL,1.4285714285714286
16,SALWS,1.4285714285714286
17,BALM,1.2857142857142858
17,BQBC,1.4285714285714286
17,QBMGP,0.8571428571428571
17,Random,1.2857142857142858
17,SALHL,1.2857142857142858
17,SALKL,1.2857142857142858
17,SALWS,1.4285714285714286
18,BALM,1.0
18,BQBC,1.4285714285714286
18,QBMGP,0.8571428571428571
18,Random,0.42857142857142855
18,SALHL,1.2857142857142858
18,SALKL,1.2857142857142858
18,SALWS,1.1428571428571428
19,BALM,1.2857142857142858
19,BQBC,1.4285714285714286
19,QBMGP,1.0
19,Random,1.0
19,SALHL,1.2857142857142858
19,SALKL,1.2857142857142858
19,SALWS,1.2857142857142858
20,BALM,0.8571428571428571
20,BQBC,1.5714285714285714
20,QBMGP,1.2857142857142858
20,Random,1.0
20,SALHL,1.2857142857142858
20,SALKL,1.2857142857142858
20,SALWS,1.1428571428571428
21,BALM,0.8571428571428571
21,BQBC,1.4285714285714286
21,QBMGP,1.0
21,Random,0.8571428571428571
21,SALHL,1.2857142857142858
21,SALKL,1.4285714285714286
21,SALWS,1.2857142857142858
22,BALM,0.8571428571428571
22,BQBC,1.5714285714285714
22,QBMGP,1.2857142857142858
22,Random,1.0
22,SALHL,1.2857142857142858
22,SALKL,1.2857142857142858
22,SALWS,1.1428571428571428
23,BALM,1.0
23,BQBC,2.0
23,QBMGP,1.5714285714285714
23,Random,1.2857142857142858
23,SALHL,1.1428571428571428
23,SALKL,1.4285714285714286
23,SALWS,0.8571428571428571
24,BALM,0.7142857142857143
24,BQBC,1.7142857142857142
24,QBMGP,1.2857142857142858
24,Random,1.1428571428571428
24,SALHL,0.8571428571428571
24,SALKL,1.2857142857142858
24,SALWS,1.1428571428571428
25,BALM,0.5714285714285714
25,BQBC,1.5714285714285714
25,QBMGP,0.8571428571428571
25,Random,1.2857142857142858
25,SALHL,0.7142857142857143
25,SALKL,1.2857142857142858
25,SALWS,0.8571428571428571
26,BALM,0.8571428571428571
26,BQBC,1.2857142857142858
26,QBMGP,0.8571428571428571
26,Random,1.1428571428571428
26,SALHL,0.7142857142857143
26,SALKL,1.2857142857142858
26,SALWS,0.42857142857142855
27,BALM,0.7142857142857143
27,BQBC,1.1428571428571428
27,QBMGP,0.8571428571428571
27,Random,1.1428571428571428
27,SALHL,0.7142857142857143
27,SALKL,1.2857142857142858
27,SALWS,0.7142857142857143
28,BALM,0.42857142857142855
28,BQBC,1.1428571428571428
28,QBMGP,0.8571428571428571
28,Random,1.2857142857142858
28,SALHL,0.8571428571428571
28,SALKL,1.2857142857142858
28,SALWS,0.7142857142857143
29,BALM,0.5714285714285714
29,BQBC,1.0
29,QBMGP,1.0
29,Random,1.1428571428571428
29,SALHL,0.7142857142857143
29,SALKL,1.1428571428571428
29,SALWS,0.8571428571428571
30,BALM,0.42857142857142855
30,BQBC,1.1428571428571428
30,QBMGP,0.8571428571428571
30,Random,1.2857142857142858
30,SALHL,0.7142857142857143
30,SALKL,1.0
30,SALWS,0.7142857142857143
31,BALM,0.7142857142857143
31,BQBC,1.1428571428571428
31,QBMGP,1.0
31,Random,1.4285714285714286
31,SALHL,0.7142857142857143
31,SALKL,0.8571428571428571
31,SALWS,0.5714285714285714
32,BALM,0.8571428571428571
32,BQBC,1.1428571428571428
32,QBMGP,0.7142857142857143
32,Random,1.4285714285714286
32,SALHL,0.8571428571428571
32,SALKL,0.8571428571428571
32,SALWS,0.8571428571428571
33,BALM,0.7142857142857143
33,BQBC,1.1428571428571428
33,QBMGP,0.8571428571428571
33,Random,1.5714285714285714
33,SALHL,1.0
33,SALKL,0.42857142857142855
33,SALWS,0.8571428571428571
34,BALM,0.7142857142857143
34,BQBC,1.1428571428571428
34,QBMGP,0.8571428571428571
34,Random,1.4285714285714286
34,SALHL,1.0
34,SALKL,0.5714285714285714
34,SALWS,0.8571428571428571
35,BALM,0.8571428571428571
35,BQBC,1.2857142857142858
35,QBMGP,0.8571428571428571
35,Random,0.8571428571428571
35,SALHL,0.8571428571428571
35,SALKL,0.5714285714285714
35,SALWS,1.2857142857142858
36,BALM,0.7142857142857143
36,BQBC,1.2857142857142858
36,QBMGP,0.7142857142857143
36,Random,1.0
36,SALHL,0.7142857142857143
36,SALKL,0.42857142857142855
36,SALWS,1.1428571428571428
37,BALM,0.2857142857142857
37,BQBC,1.2857142857142858
37,QBMGP,0.2857142857142857
37,Random,0.42857142857142855
37,SALHL,0.8571428571428571
37,SALKL,0.7142857142857143
37,SALWS,1.1428571428571428
38,BALM,0.14285714285714285
38,BQBC,1.2857142857142858
38,QBMGP,0.2857142857142857
38,Random,0.7142857142857143
38,SALHL,0.8571428571428571
38,SALKL,0.7142857142857143
38,SALWS,1.4285714285714286
39,BALM,0.14285714285714285
39,BQBC,1.1428571428571428
39,QBMGP,0.7142857142857143
39,Random,1.0
39,SALHL,0.8571428571428571
39,SALKL,0.7142857142857143
39,SALWS,1.2857142857142858
40,BALM,0.2857142857142857
40,BQBC,1.2857142857142858
40,QBMGP,0.7142857142857143
40,Random,0.7142857142857143
40,SALHL,0.5714285714285714
40,SALKL,0.8571428571428571
40,SALWS,1.2857142857142858
41,BALM,0.2857142857142857
41,BQBC,1.1428571428571428
41,QBMGP,0.5714285714285714
41,Random,0.42857142857142855
41,SALHL,0.5714285714285714
41,SALKL,0.5714285714285714
41,SALWS,1.2857142857142858
42,BALM,0.2857142857142857
42,BQBC,1.1428571428571428
42,QBMGP,0.42857142857142855
42,Random,0.7142857142857143
42,SALHL,0.42857142857142855
42,SALKL,0.5714285714285714
42,SALWS,1.1428571428571428
43,BALM,0.2857142857142857
43,BQBC,1.4285714285714286
43,QBMGP,1.0
43,Random,0.8571428571428571
43,SALHL,0.42857142857142855
43,SALKL,0.2857142857142857
43,SALWS,1.2857142857142858
44,BALM,0.14285714285714285
44,BQBC,1.2857142857142858
44,QBMGP,1.0
44,Random,0.8571428571428571
44,SALHL,0.42857142857142855
44,SALKL,0.5714285714285714
44,SALWS,1.4285714285714286
